symbol,timestamp,last,bid,ask,bid_size,ask_size,volume,type
AAPL,2025-01-10T13:19:47Z,242.39,242.39,242.5,200,100,131201,quote
,2025-01-10T13:23:48Z,,,,,,,heartbeat
,2025-01-10T13:24:24Z,,,,,,,heartbeat
,2025-01-10T13:24:32Z,,,,,,,heartbeat
,2025-01-10T13:24:43Z,,,,,,,heartbeat
,2025-01-10T13:24:53Z,,,,,,,heartbeat
,2025-01-10T13:24:58Z,,,,,,,heartbeat
,2025-01-10T13:25:07Z,,,,,,,heartbeat
,2025-01-10T13:25:22Z,,,,,,,heartbeat
,2025-01-10T13:25:41Z,,,,,,,heartbeat
,2025-01-10T13:25:54Z,,,,,,,heartbeat
,2025-01-10T13:26:10Z,,,,,,,heartbeat
,2025-01-10T13:26:15Z,,,,,,,heartbeat
