timestamp,symbol,event,latency_ms,request_id,stage,exchange_time,broker_latency_ms,total_latency_ms
2025-01-21T20:02:24.656391Z,SPY,wire,0.687872,REQ000017,wire
2025-01-21T20:02:24.661533Z,SPY,parse,5.830144,REQ000017,parse
2025-01-21T20:02:24.664918Z,SPY,write,9.214976,REQ000017,write
2025-01-21T20:02:24.667671Z,SPY,total,11.968,REQ000017,total
2025-01-21T20:02:24.670289Z,SPY,broker,14.586112,REQ000017,broker
2025-01-21T20:02:24.677838Z,AAPL,wire,0.326144,REQ000018,wire
2025-01-21T20:02:24.680804Z,AAPL,parse,3.29216,REQ000018,parse
2025-01-21T20:02:24.683638Z,AAPL,write,6.12608,REQ000018,write
2025-01-21T20:02:24.686223Z,AAPL,total,8.711168,REQ000018,total
2025-01-21T20:02:24.688581Z,AAPL,broker,11.068928,REQ000018,broker
2025-01-21T20:02:24.692542Z,SPY,wire,0.20992,REQ000019,wire
2025-01-21T20:02:24.695058Z,SPY,parse,2.726144,REQ000019,parse
2025-01-21T20:02:24.697558Z,SPY,write,5.225984,REQ000019,write
2025-01-21T20:02:24.699664Z,SPY,total,7.332096,REQ000019,total
2025-01-21T20:02:24.701619Z,SPY,broker,9.286912,REQ000019,broker
2025-01-21T20:02:25.657611Z,QQQ,wire,1.046016,REQ000020,wire
2025-01-21T20:02:25.662573Z,QQQ,parse,6.008064,REQ000020,parse
2025-01-21T20:02:25.666838Z,QQQ,write,10.273024,REQ000020,write
2025-01-21T20:02:25.670119Z,QQQ,total,13.554176,REQ000020,total
2025-01-21T20:02:25.673369Z,QQQ,broker,16.80384,REQ000020,broker
2025-01-21T20:02:25.678332Z,AAPL,wire,0.279296,REQ000021,wire
2025-01-21T20:02:25.681136Z,AAPL,parse,3.083008,REQ000021,parse
2025-01-21T20:02:25.683814Z,AAPL,write,5.76128,REQ000021,write
2025-01-21T20:02:25.686415Z,AAPL,total,8.361984,REQ000021,total
2025-01-21T20:02:25.688706Z,AAPL,broker,10.653184,REQ000021,broker
2025-01-21T20:02:25.692795Z,QQQ,wire,0.217088,REQ000022,wire
2025-01-21T20:02:25.695126Z,QQQ,parse,2.547968,REQ000022,parse
2025-01-21T20:02:25.699751Z,QQQ,write,7.172864,REQ000022,write
2025-01-21T20:02:25.701805Z,QQQ,total,9.227008,REQ000022,total
2025-01-21T20:02:25.703746Z,QQQ,broker,11.168,REQ000022,broker
2025-01-21T20:02:26.656894Z,AAPL,wire,0.871936,REQ000023,wire
2025-01-21T20:02:26.661837Z,AAPL,parse,5.81504,REQ000023,parse
2025-01-21T20:02:26.665222Z,AAPL,write,9.199872,REQ000023,write
2025-01-21T20:02:26.667683Z,AAPL,total,11.6608,REQ000023,total
2025-01-21T20:02:26.669944Z,AAPL,broker,13.922048,REQ000023,broker
2025-01-21T20:02:26.674258Z,SPY,wire,0.238848,REQ000024,wire
2025-01-21T20:02:26.676896Z,SPY,parse,2.876928,REQ000024,parse
2025-01-21T20:02:26.679592Z,SPY,write,5.572864,REQ000024,write
2025-01-21T20:02:26.682224Z,SPY,total,8.205056,REQ000024,total
2025-01-21T20:02:26.684883Z,SPY,broker,10.864128,REQ000024,broker
2025-01-21T20:02:26.689188Z,QQQ,wire,0.242944,REQ000025,wire
2025-01-21T20:02:26.691471Z,QQQ,parse,2.525952,REQ000025,parse
2025-01-21T20:02:26.693867Z,QQQ,write,4.921856,REQ000025,write
2025-01-21T20:02:26.696459Z,QQQ,total,7.513856,REQ000025,total
2025-01-21T20:02:26.698779Z,QQQ,broker,9.833984,REQ000025,broker
2025-01-21T20:02:26.702327Z,SPY,wire,0.18816,REQ000026,wire
2025-01-21T20:02:26.704265Z,SPY,parse,2.126336,REQ000026,parse
2025-01-21T20:02:26.706518Z,SPY,write,4.379136,REQ000026,write
2025-01-21T20:02:26.708382Z,SPY,total,6.243072,REQ000026,total
2025-01-21T20:02:26.714490Z,SPY,broker,12.350976,REQ000026,broker
2025-01-21T20:02:27.655693Z,AAPL,wire,0.647168,REQ000027,wire
2025-01-21T20:02:27.658687Z,AAPL,parse,3.641344,REQ000027,parse
2025-01-21T20:02:27.661856Z,AAPL,write,6.810112,REQ000027,write
2025-01-21T20:02:27.665014Z,AAPL,total,9.968128,REQ000027,total
2025-01-21T20:02:27.667418Z,AAPL,broker,12.372224,REQ000027,broker
2025-01-21T20:02:27.673085Z,SPY,wire,0.204032,REQ000028,wire
2025-01-21T20:02:27.675651Z,SPY,parse,2.770176,REQ000028,parse
2025-01-21T20:02:27.678196Z,SPY,write,5.315072,REQ000028,write
2025-01-21T20:02:27.680362Z,SPY,total,7.481088,REQ000028,total
2025-01-21T20:02:27.682237Z,SPY,broker,9.356032,REQ000028,broker
2025-01-21T20:02:27.686765Z,QQQ,wire,0.557056,REQ000029,wire
2025-01-21T20:02:27.688786Z,QQQ,parse,2.57792,REQ000029,parse
2025-01-21T20:02:27.690701Z,QQQ,write,4.493056,REQ000029,write
2025-01-21T20:02:27.693329Z,QQQ,total,7.121152,REQ000029,total
2025-01-21T20:02:27.695135Z,QQQ,broker,8.927232,REQ000029,broker
2025-01-21T20:02:29.656145Z,AAPL,wire,0.65408,REQ000030,wire
2025-01-21T20:02:29.661702Z,AAPL,parse,6.210816,REQ000030,parse
2025-01-21T20:02:29.666044Z,AAPL,write,10.552832,REQ000030,write
2025-01-21T20:02:29.669446Z,AAPL,total,13.954816,REQ000030,total
2025-01-21T20:02:29.672763Z,AAPL,broker,17.272064,REQ000030,broker
2025-01-21T20:02:29.677748Z,SPY,wire,0.26112,REQ000031,wire
2025-01-21T20:02:29.680492Z,SPY,parse,3.005184,REQ000031,parse
2025-01-21T20:02:29.685972Z,SPY,write,8.48512,REQ000031,write
2025-01-21T20:02:29.688300Z,SPY,total,10.812928,REQ000031,total
2025-01-21T20:02:29.690516Z,SPY,broker,13.02912,REQ000031,broker
2025-01-21T20:02:29.694542Z,AAPL,wire,0.216832,REQ000032,wire
2025-01-21T20:02:29.696678Z,AAPL,parse,2.352896,REQ000032,parse
2025-01-21T20:02:29.698635Z,AAPL,write,4.310016,REQ000032,write
2025-01-21T20:02:29.700604Z,AAPL,total,6.278912,REQ000032,total
2025-01-21T20:02:29.702581Z,AAPL,broker,8.256,REQ000032,broker
2025-01-21T20:02:29.706188Z,QQQ,wire,0.26624,REQ000033,wire
2025-01-21T20:02:29.708167Z,QQQ,parse,2.245376,REQ000033,parse
2025-01-21T20:02:29.710024Z,QQQ,write,4.1024,REQ000033,write
2025-01-21T20:02:29.711787Z,QQQ,total,5.865216,REQ000033,total
2025-01-21T20:02:29.713571Z,QQQ,broker,7.64928,REQ000033,broker
2025-01-21T20:02:30.655390Z,QQQ,wire,0.570112,REQ000034,wire
2025-01-21T20:02:30.660201Z,QQQ,parse,5.38112,REQ000034,parse
2025-01-21T20:02:30.664477Z,QQQ,write,9.657344,REQ000034,write
2025-01-21T20:02:30.668471Z,QQQ,total,13.6512,REQ000034,total
2025-01-21T20:02:30.671829Z,QQQ,broker,17.009152,REQ000034,broker
2025-01-21T20:02:30.677103Z,SPY,wire,0.27904,REQ000035,wire
2025-01-21T20:02:30.680120Z,SPY,parse,3.296,REQ000035,parse
2025-01-21T20:02:30.682824Z,SPY,write,5.999872,REQ000035,write
2025-01-21T20:02:30.685462Z,SPY,total,8.637952,REQ000035,total
2025-01-21T20:02:30.687720Z,SPY,broker,10.895872,REQ000035,broker
2025-01-21T20:02:30.694179Z,AAPL,wire,0.244224,REQ000036,wire
2025-01-21T20:02:30.696303Z,AAPL,parse,2.368,REQ000036,parse
2025-01-21T20:02:30.698249Z,AAPL,write,4.314368,REQ000036,write
2025-01-21T20:02:30.700177Z,AAPL,total,6.242048,REQ000036,total
2025-01-21T20:02:30.702096Z,AAPL,broker,8.161024,REQ000036,broker
2025-01-21T20:02:31.665661Z,QQQ,wire,1.689344,REQ000037,wire
