symbol,received_time,trade_time,server_time,last,bid,ask,bid_size,ask_size,volume,type
AAPL,2025-01-10T19:51:53.155578Z,2025-01-10T19:51:49Z,,236.17,236.17,236.21,700,700,36976939,quote
AAPL,2025-01-10T19:51:53.158732Z,2025-01-10T19:51:50Z,,236.2,236.19,100,,100,36977391,quote
AAPL,2025-01-10T19:51:53.164261Z,,,,200,,200,,36977487,quote
AAPL,2025-01-10T19:51:56.077850Z,2025-01-10T19:51:52Z,,236.205,236.2,236.23,1000,700,36977963,quote
AAPL,2025-01-10T19:51:56.082859Z,,,,,100,,100,36977972,quote
AAPL,2025-01-10T19:51:56.088968Z,,,,236.21,,100,,36978065,quote
AAPL,2025-01-10T19:52:00.068788Z,2025-01-10T19:51:55Z,,236.23,236.22,236.24,400,700,36978609,quote
AAPL,2025-01-10T19:52:00.071289Z,,,,900,236.25,900,,36978741,quote
AAPL,2025-01-10T19:52:00.072394Z,2025-01-10T19:51:57Z,,236.26,1000,236.26,1000,400,36981992,quote
AAPL,2025-01-10T19:52:00.073358Z,,,236.23,,300,,300,36982193,quote
AAPL,2025-01-10T19:52:02.016730Z,,,,,700,,700,36982386,quote
AAPL,2025-01-10T19:52:02.028079Z,2025-01-10T19:52:00Z,,236.24,236.21,236.24,100,,36984129,quote
AAPL,2025-01-10T19:52:08.055312Z,2025-01-10T19:52:01Z,,236.2245,700,236.23,700,100,36985181,quote
AAPL,2025-01-10T19:52:08.059095Z,2025-01-10T19:52:02Z,,236.22,500,,500,,36985282,quote
AAPL,2025-01-10T19:52:08.060533Z,,,,,300,,300,36985457,quote
AAPL,2025-01-10T19:52:08.061567Z,,,,,,,,36985567,quote
AAPL,2025-01-10T19:52:08.062167Z,2025-01-10T19:52:05Z,,200,600,,600,,36985818,quote
AAPL,2025-01-10T19:52:08.062756Z,,,,,,,,36985834,quote
AAPL,2025-01-10T19:52:12.048872Z,2025-01-10T19:52:07Z,,236.21,,,,,36986195,quote
AAPL,2025-01-10T19:52:12.052018Z,,,,,,,,36986249,quote
AAPL,2025-01-10T19:52:12.053451Z,2025-01-10T19:52:09Z,,236.2151,700,,700,,36986728,quote
AAPL,2025-01-10T19:52:12.054248Z,,,,,,,,36986745,quote
AAPL,2025-01-10T19:52:15.016790Z,2025-01-10T19:52:11Z,,236.21,,,,,36987184,quote
AAPL,2025-01-10T19:52:15.019707Z,2025-01-10T19:52:12Z,,236.23,,,,,36990013,quote
AAPL,2025-01-10T19:52:15.021070Z,2025-01-10T19:52:13Z,,236.22,400,,400,,36990437,quote
AAPL,2025-01-10T19:52:17.017358Z,2025-01-10T19:52:14Z,,236.23,300,,300,,36990544,quote
AAPL,2025-01-10T19:52:17.020858Z,2025-01-10T19:52:15Z,,236.26,236.24,236.26,700,200,36991475,quote
AAPL,2025-01-10T19:52:20.018796Z,2025-01-10T19:52:16Z,,236.27,236.25,236.29,,700,36992856,quote
AAPL,2025-01-10T19:52:20.022884Z,2025-01-10T19:52:17Z,,100,236.24,236.27,100,300,36994056,quote
AAPL,2025-01-10T19:52:20.024031Z,2025-01-10T19:52:18Z,,236.2574,,400,,400,36994240,quote
AAPL,2025-01-10T19:52:23.014250Z,2025-01-10T19:52:19Z,,236.246,1100,,1100,,36994818,quote
AAPL,2025-01-10T19:52:23.017662Z,2025-01-10T19:52:20Z,,236.26,200,236.26,200,200,36996410,quote
AAPL,2025-01-10T19:52:23.019006Z,,,,300,100,300,100,36996454,quote
AAPL,2025-01-10T19:52:26.079681Z,,,,400,200,400,200,36996575,quote
AAPL,2025-01-10T19:52:26.082138Z,2025-01-10T19:52:23Z,,236.23,236.23,236.25,100,100,36998479,quote
AAPL,2025-01-10T19:52:26.083487Z,,,236.2499,,,,,37001310,quote
AAPL,2025-01-10T19:52:30.017324Z,2025-01-10T19:52:25Z,,236.25,236.24,236.26,200,,37002333,quote
AAPL,2025-01-10T19:52:30.021Z,2025-01-10T19:52:26Z,,,,700,,700,37002439,quote
AAPL,2025-01-10T19:52:30.023569Z,,,,,200,,200,37002588,quote
AAPL,2025-01-10T19:52:30.024161Z,2025-01-10T19:52:28Z,,,,,,,37002740,quote
AAPL,2025-01-10T19:52:32.014623Z,2025-01-10T19:52:29Z,,236.26,236.26,236.27,100,100,37003475,quote
AAPL,2025-01-10T19:52:32.016961Z,,,,,,,,37003492,quote
AAPL,2025-01-10T19:52:35.016582Z,2025-01-10T19:52:31Z,,236.265,236.27,236.28,,,37004381,quote
AAPL,2025-01-10T19:52:35.019672Z,2025-01-10T19:52:32Z,,236.2701,236.26,700,,700,37007313,quote
AAPL,2025-01-10T19:52:35.020945Z,,,,,236.27,,100,37007717,quote
